,word,score
0,performance,0.16925504186039614
1,consumertrack,0.08060281808644187
2,401k,0.056418347286798724
3,401k matching,0.056418347286798724
4,able,0.056418347286798724
5,able collaborate,0.056418347286798724
6,accountability everyones,0.056418347286798724
7,accountable,0.056418347286798724
8,accountable able,0.056418347286798724
9,apply,0.056418347286798724
10,apply team,0.056418347286798724
11,asset,0.056418347286798724
12,asset consumertrack,0.056418347286798724
13,based,0.056418347286798724
14,based performance,0.056418347286798724
